postcode,city,state
05504,Alor Setar,Kedah
05505,Alor Setar,Kedah
05506,Alor Setar,Kedah
05508,Alor Setar,Kedah
05512,Alor Setar,Kedah
05514,Alor Setar,Kedah
05516,Alor Setar,Kedah
05517,Alor Setar,Kedah
05518,Alor Setar,Kedah
05520,Alor Setar,Kedah
05532,Alor Setar,Kedah
05534,Alor Setar,Kedah
05536,Alor Setar,Kedah
05538,Alor Setar,Kedah
05550,Alor Setar,Kedah
05551,Alor Setar,Kedah
05552,Alor Setar,Kedah
05556,Alor Setar,Kedah
05558,Alor Setar,Kedah
05560,Alor Setar,Kedah
05564,Alor Setar,Kedah
05576,Alor Setar,Kedah
05578,Alor Setar,Kedah
05580,Alor Setar,Kedah
05582,Alor Setar,Kedah
05586,Alor Setar,Kedah
05590,Alor Setar,Kedah
05592,Alor Setar,Kedah
05594,Alor Setar,Kedah
05600,Alor Setar,Kedah
05604,Alor Setar,Kedah
05610,Alor Setar,Kedah
05612,Alor Setar,Kedah
05614,Alor Setar,Kedah
05620,Alor Setar,Kedah
05621,Alor Setar,Kedah
05622,Alor Setar,Kedah
05626,Alor Setar,Kedah
05628,Alor Setar,Kedah
05630,Alor Setar,Kedah
05632,Alor Setar,Kedah
05644,Alor Setar,Kedah
05646,Alor Setar,Kedah
05660,Alor Setar,Kedah
05661,Alor Setar,Kedah
05664,Alor Setar,Kedah
05670,Alor Setar,Kedah
05672,Alor Setar,Kedah
05673,Alor Setar,Kedah
05674,Alor Setar,Kedah
05675,Alor Setar,Kedah
05676,Alor Setar,Kedah
05680,Alor Setar,Kedah
05690,Alor Setar,Kedah
05696,Alor Setar,Kedah
05700,Alor Setar,Kedah
05710,Alor Setar,Kedah
05720,Alor Setar,Kedah
05990,Alor Setar,Kedah
06000,Jitra,Kedah
06007,Jitra,Kedah
06009,Jitra,Kedah
06010,Changloon,Kedah
06050,Bukit Kayu Hitam,Kedah
06060,Bukit Kayu Hitam,Kedah
06100,Kodiang,Kedah
06150,Ayer Hitam,Kedah
06200,Kepala Batas,Kedah
06207,Kepala Batas,Kedah
06209,Kepala Batas,Kedah
06250,Alor Setar,Kedah
06300,Kuala Nerang,Kedah
06309,Kuala Nerang,Kedah
06350,Pokok Sena,Kedah
06400,Pokok Sena,Kedah
06500,Langgar,Kedah
06507,Langgar,Kedah
06509,Langgar,Kedah
06550,Alor Setar,Kedah
06570,Alor Setar,Kedah
06600,Kuala Kedah,Kedah
06650,Simpang Empat,Kedah
06660,Simpang Empat,Kedah
06700,Pendang,Kedah
06707,Pendang,Kedah
06709,Pendang,Kedah
06710,Lubuk Merbau,Kedah
06720,Pendang,Kedah
06750,Pendang,Kedah
06760,Pokok Sena,Kedah
06800,Kota Sarang Semut,Kedah
06900,Yan,Kedah
06910,Yan,Kedah
07000,Langkawi,Kedah
07007,Langkawi,Kedah
07009,Langkawi,Kedah
08000,Sungai Petani,Kedah
08007,Sungai Petani,Kedah
08009,Sungai Petani,Kedah
08010,Kuala Ketil,Kedah
08100,Sungai Petani,Kedah
08107,Bedong,Kedah
08109,Bedong,Kedah
08110,Bedong,Kedah
08200,Sik,Kedah
08210,Sik,Kedah
08300,Gurun,Kedah
08307,Gurun,Kedah
08320,Gurun,Kedah
08400,Merbok,Kedah
08407,Merbok,Kedah
08409,Merbok,Kedah
08500,Kota Kuala Muda,Kedah
08507,Kota Kuala Muda,Kedah
08509,Kota Kuala Muda,Kedah
08600,Tikam Batu,Kedah
08700,Jeniang,Kedah
08800,Gurun,Kedah
09000,Kulim,Kedah
09007,Kulim,Kedah
09009,Kulim,Kedah
09010,Karangan,Kedah
09020,Karangan,Kedah
09090,Kulim,Kedah
09100,Baling,Kedah
09109,Baling,Kedah
09110,Baling,Kedah
09120,Baling,Kedah
09130,Baling,Kedah
09200,Kupang,Kedah
09300,Kuala Ketil,Kedah
09309,Kuala Ketil,Kedah
09310,Kuala Ketil,Kedah
09400,Padang Serai,Kedah
09409,Padang Serai,Kedah
09410,Padang Serai,Kedah
09500,Karangan,Kedah
09600,Kulim,Kedah
09700,Karangan,Kedah
09709,Karangan,Kedah
09800,Serdang,Kedah
09809,Serdang,Kedah
09810,Serdang,Kedah
09870,Sungai Kechil Ilir,Kedah
09880,Relau,Kedah
10000,Pulau Pinang,Pulau Pinang
10050,Pulau Pinang,Pulau Pinang
10100,Pulau Pinang,Pulau Pinang
10150,Pulau Pinang,Pulau Pinang
10200,Pulau Pinang,Pulau Pinang
10250,Pulau Pinang,Pulau Pinang
10300,Pulau Pinang,Pulau Pinang
10350,Pulau Pinang,Pulau Pinang
10400,Pulau Pinang,Pulau Pinang
10450,Pulau Pinang,Pulau Pinang
10460,Pulau Pinang,Pulau Pinang
10470,Pulau Pinang,Pulau Pinang
10500,Pulau Pinang,Pulau Pinang
10502,Pulau Pinang,Pulau Pinang
10503,Pulau Pinang,Pulau Pinang
10504,Pulau Pinang,Pulau Pinang
10505,Pulau Pinang,Pulau Pinang
10506,Pulau Pinang,Pulau Pinang
10508,Pulau Pinang,Pulau Pinang
10512,Pulau Pinang,Pulau Pinang
10514,Pulau Pinang,Pulau Pinang
10516,Pulau Pinang,Pulau Pinang
10518,Pulau Pinang,Pulau Pinang
10524,Pulau Pinang,Pulau Pinang
10534,Pulau Pinang,Pulau Pinang
10538,Pulau Pinang,Pulau Pinang
10540,Pulau Pinang,Pulau Pinang
10542,Pulau Pinang,Pulau Pinang
10546,Pulau Pinang,Pulau Pinang
10550,Pulau Pinang,Pulau Pinang
10551,Pulau Pinang,Pulau Pinang
10552,Pulau Pinang,Pulau Pinang
10558,Pulau Pinang,Pulau Pinang
10560,Pulau Pinang,Pulau Pinang
10564,Pulau Pinang,Pulau Pinang
10566,Pulau Pinang,Pulau Pinang
10570,Pulau Pinang,Pulau Pinang
10576,Pulau Pinang,Pulau Pinang
10578,Pulau Pinang,Pulau Pinang
10582,Pulau Pinang,Pulau Pinang
10590,Pulau Pinang,Pulau Pinang
10592,Pulau Pinang,Pulau Pinang
10593,Pulau Pinang,Pulau Pinang
10594,Pulau Pinang,Pulau Pinang
10596,Pulau Pinang,Pulau Pinang
10600,Pulau Pinang,Pulau Pinang
10604,Pulau Pinang,Pulau Pinang
10609,Pulau Pinang,Pulau Pinang
10610,Pulau Pinang,Pulau Pinang
10612,Pulau Pinang,Pulau Pinang
10620,Pulau Pinang,Pulau Pinang
10622,Pulau Pinang,Pulau Pinang
10626,Pulau Pinang,Pulau Pinang
10628,Pulau Pinang,Pulau Pinang
10634,Pulau Pinang,Pulau Pinang
10646,Pulau Pinang,Pulau Pinang
10648,Pulau Pinang,Pulau Pinang
10660,Pulau Pinang,Pulau Pinang
10661,Pulau Pinang,Pulau Pinang
10662,Pulau Pinang,Pulau Pinang
10670,Pulau Pinang,Pulau Pinang
10672,Pulau Pinang,Pulau Pinang
10673,Pulau Pinang,Pulau Pinang
10674,Pulau Pinang,Pulau Pinang
10676,Pulau Pinang,Pulau Pinang
10690,Pulau Pinang,Pulau Pinang
10700,Pulau Pinang,Pulau Pinang
10710,Pulau Pinang,Pulau Pinang
10720,Pulau Pinang,Pulau Pinang
10730,Pulau Pinang,Pulau Pinang
10740,Pulau Pinang,Pulau Pinang
10750,Pulau Pinang,Pulau Pinang
10760,Pulau Pinang,Pulau Pinang
10770,Pulau Pinang,Pulau Pinang
10780,Pulau Pinang,Pulau Pinang
10790,Pulau Pinang,Pulau Pinang
10800,Pulau Pinang,Pulau Pinang
10810,Pulau Pinang,Pulau Pinang
10820,Pulau Pinang,Pulau Pinang
10830,Pulau Pinang,Pulau Pinang
10840,Pulau Pinang,Pulau Pinang
10850,Pulau Pinang,Pulau Pinang
10910,Pulau Pinang,Pulau Pinang
10920,Pulau Pinang,Pulau Pinang
10990,Pulau Pinang,Pulau Pinang
11000,Balik Pulau,Pulau Pinang
11010,Balik Pulau,Pulau Pinang
11020,Balik Pulau,Pulau Pinang
11050,Teluk Bahang,Pulau Pinang
11060,Paya Terubong,Pulau Pinang
11100,Batu Ferringhi,Pulau Pinang
11200,Tanjung Bungah,Pulau Pinang
11300,Bukit Bendera,Pulau Pinang
11400,Padang Tembak,Pulau Pinang
11409,Padang Tembak,Pulau Pinang
11500,Air Itam,Pulau Pinang
11600,Jelutong,Pulau Pinang
11609,Jelutong,Pulau Pinang
11700,Gelugor,Pulau Pinang
11800,Minden,Pulau Pinang
11900,Bayan Lepas,Pulau Pinang
11910,Bayan Lepas,Pulau Pinang
11920,Bayan Lepas,Pulau Pinang
11950,Bayan Lepas,Pulau Pinang
11960,Bayan Lepas,Pulau Pinang
11980,Bayan Lepas,Pulau Pinang
11988,Bayan Lepas,Pulau Pinang
12000,Butterworth,Pulau Pinang
12100,Butterworth,Pulau Pinang
12200,Butterworth,Pulau Pinang
12300,Butterworth,Pulau Pinang
12700,Butterworth,Pulau Pinang
12710,Butterworth,Pulau Pinang
12720,Butterworth,Pulau Pinang
12990,Butterworth,Pulau Pinang
13000,Butterworth,Pulau Pinang
13009,Butterworth,Pulau Pinang
13020,Butterworth,Pulau Pinang
13050,Butterworth,Pulau Pinang
13100,Penaga,Pulau Pinang
13110,Penaga,Pulau Pinang
13200,Kepala Batas,Pulau Pinang
13210,Kepala Batas,Pulau Pinang
13220,Kepala Batas,Pulau Pinang
13300,Tasek Gelugor,Pulau Pinang
13310,Tasek Gelugor,Pulau Pinang
13400,Butterworth,Pulau Pinang
13409,Butterworth,Pulau Pinang
13500,Permatang Pauh,Pulau Pinang
13600,Perai,Pulau Pinang
13700,Seberang Jaya,Pulau Pinang
13800,Butterworth,Pulau Pinang
14000,Bukit Mertajam,Pulau Pinang
14007,Bukit Mertajam,Pulau Pinang
14009,Bukit Mertajam,Pulau Pinang
14020,Bukit Mertajam,Pulau Pinang
14100,Simpang Ampat,Pulau Pinang
14110,Simpang Ampat,Pulau Pinang
14120,Simpang Ampat,Pulau Pinang
14200,Sungai Jawi,Pulau Pinang
14300,Nibong Tebal,Pulau Pinang
14310,Nibong Tebal,Pulau Pinang
14320,Nibong Tebal,Pulau Pinang
14400,Kubang Semang,Pulau Pinang
15000,Kota Bharu,Kelantan
15050,Kota Bharu,Kelantan
15100,Kota Bharu,Kelantan
15150,Kota Bharu,Kelantan
15159,Kota Bharu,Kelantan
15200,Kota Bharu,Kelantan
15300,Kota Bharu,Kelantan
15350,Kota Bharu,Kelantan
15400,Kota Bharu,Kelantan
15500,Kota Bharu,Kelantan
15502,Kota Bharu,Kelantan
15503,Kota Bharu,Kelantan
15504,Kota Bharu,Kelantan
15505,Kota Bharu,Kelantan
15506,Kota Bharu,Kelantan
15508,Kota Bharu,Kelantan
15512,Kota Bharu,Kelantan
15514,Kota Bharu,Kelantan
15516,Kota Bharu,Kelantan
15517,Kota Bharu,Kelantan
15518,Kota Bharu,Kelantan
15519,Kota Bharu,Kelantan
15520,Kota Bharu,Kelantan
15524,Kota Bharu,Kelantan
15529,Kota Bharu,Kelantan
15532,Kota Bharu,Kelantan
15534,Kota Bharu,Kelantan
15536,Kota Bharu,Kelantan
15538,Kota Bharu,Kelantan
15540,Kota Bharu,Kelantan
15546,Kota Bharu,Kelantan
15548,Kota Bharu,Kelantan
15550,Kota Bharu,Kelantan
15551,Kota Bharu,Kelantan
15552,Kota Bharu,Kelantan
15556,Kota Bharu,Kelantan
15558,Kota Bharu,Kelantan
15560,Kota Bharu,Kelantan
15564,Kota Bharu,Kelantan
15570,Kota Bharu,Kelantan
15572,Kota Bharu,Kelantan
15576,Kota Bharu,Kelantan
15578,Kota Bharu,Kelantan
15582,Kota Bharu,Kelantan
15586,Kota Bharu,Kelantan
15590,Kota Bharu,Kelantan
15592,Kota Bharu,Kelantan
15594,Kota Bharu,Kelantan
15596,Kota Bharu,Kelantan
15600,Kota Bharu,Kelantan
15604,Kota Bharu,Kelantan
15608,Kota Bharu,Kelantan
15609,Kota Bharu,Kelantan
15612,Kota Bharu,Kelantan
15614,Kota Bharu,Kelantan
15616,Kota Bharu,Kelantan
15620,Kota Bharu,Kelantan
15622,Kota Bharu,Kelantan
15623,Kota Bharu,Kelantan
15626,Kota Bharu,Kelantan
15628,Kota Bharu,Kelantan
15630,Kota Bharu,Kelantan
15632,Kota Bharu,Kelantan
15634,Kota Bharu,Kelantan
15644,Kota Bharu,Kelantan
15646,Kota Bharu,Kelantan
15648,Kota Bharu,Kelantan
15658,Kota Bharu,Kelantan
15660,Kota Bharu,Kelantan
15661,Kota Bharu,Kelantan
15664,Kota Bharu,Kelantan
15670,Kota Bharu,Kelantan
15672,Kota Bharu,Kelantan
15673,Kota Bharu,Kelantan
15674,Kota Bharu,Kelantan
15675,Kota Bharu,Kelantan
15676,Kota Bharu,Kelantan
15680,Kota Bharu,Kelantan
15690,Kota Bharu,Kelantan
15710,Kota Bharu,Kelantan
15720,Kota Bharu,Kelantan
15730,Kota Bharu,Kelantan
15740,Kota Bharu,Kelantan
15988,Kota Bharu,Kelantan
15990,Kota Bharu,Kelantan
16010,Kota Bharu,Kelantan
16020,Bachok,Kelantan
16040,Wakaf Bharu,Kelantan
16050,Bachok,Kelantan
16070,Bachok,Kelantan
16080,Tumpat,Kelantan
16090,Bachok,Kelantan
16100,Kota Bharu,Kelantan
16109,Kota Bharu,Kelantan
16150,Kota Bharu,Kelantan
16200,Tumpat,Kelantan
16210,Tumpat,Kelantan
16250,Wakaf Bharu,Kelantan
16300,Bachok,Kelantan
16309,Bachok,Kelantan
16310,Bachok,Kelantan
16400,Melor,Kelantan
16450,Kota Bharu,Kelantan
16500,Kota Bharu,Kelantan
16600,Machang,Kelantan
16700,Pasir Puteh,Kelantan
16800,Pasir Puteh,Kelantan
16810,Pasir Puteh,Kelantan
17000,Pasir Mas,Kelantan
17007,Pasir Mas,Kelantan
17009,Pasir Mas,Kelantan
17010,Pasir Mas,Kelantan
17020,Pasir Mas,Kelantan
17030,Pasir Mas,Kelantan
17040,Pasir Mas,Kelantan
17050,Pasir Mas,Kelantan
17060,Pasir Mas,Kelantan
17070,Pasir Mas,Kelantan
17200,Rantau Panjang,Kelantan
17207,Rantau Panjang,Kelantan
17500,Tanah Merah,Kelantan
17507,Tanah Merah,Kelantan
17509,Tanah Merah,Kelantan
17510,Tanah Merah,Kelantan
17600,Jeli,Kelantan
17609,Jeli,Kelantan
17610,Jeli,Kelantan
17700,Ayer Lanas,Kelantan
18000,Kuala Krai,Kelantan
18007,Kuala Krai,Kelantan
18009,Kuala Krai,Kelantan
18050,Kuala Krai,Kelantan
18200,Kuala Krai,Kelantan
18300,Gua Musang,Kelantan
18307,Gua Musang,Kelantan
18400,Machang,Kelantan
18500,Machang,Kelantan
18509,Machang,Kelantan
20000,Kuala Terengganu,Terengganu
20050,Kuala Terengganu,Terengganu
20100,Kuala Terengganu,Terengganu
20200,Kuala Terengganu,Terengganu
20300,Kuala Terengganu,Terengganu
20400,Kuala Terengganu,Terengganu
20500,Kuala Terengganu,Terengganu
20502,Kuala Terengganu,Terengganu
20503,Kuala Terengganu,Terengganu
20504,Kuala Terengganu,Terengganu
20505,Kuala Terengganu,Terengganu
20506,Kuala Terengganu,Terengganu
20508,Kuala Terengganu,Terengganu
20512,Kuala Terengganu,Terengganu
20514,Kuala Terengganu,Terengganu
20516,Kuala Terengganu,Terengganu
20517,Kuala Terengganu,Terengganu
20518,Kuala Terengganu,Terengganu
20519,Kuala Terengganu,Terengganu
20520,Kuala Terengganu,Terengganu
20532,Kuala Terengganu,Terengganu
20534,Kuala Terengganu,Terengganu
20536,Kuala Terengganu,Terengganu
20538,Kuala Terengganu,Terengganu
20540,Kuala Terengganu,Terengganu
20542,Kuala Terengganu,Terengganu
20546,Kuala Terengganu,Terengganu
20548,Kuala Terengganu,Terengganu
20550,Kuala Terengganu,Terengganu
20551,Kuala Terengganu,Terengganu
20552,Kuala Terengganu,Terengganu
20554,Kuala Terengganu,Terengganu
20556,Kuala Terengganu,Terengganu
20560,Kuala Terengganu,Terengganu
20564,Kuala Terengganu,Terengganu
20566,Kuala Terengganu,Terengganu
20568,Kuala Terengganu,Terengganu
20570,Kuala Terengganu,Terengganu
20572,Kuala Terengganu,Terengganu
20576,Kuala Terengganu,Terengganu
20578,Kuala Terengganu,Terengganu
20582,Kuala Terengganu,Terengganu
20586,Kuala Terengganu,Terengganu
20590,Kuala Terengganu,Terengganu
20592,Kuala Terengganu,Terengganu
20594,Kuala Terengganu,Terengganu
20596,Kuala Terengganu,Terengganu
20598,Kuala Terengganu,Terengganu
20600,Kuala Terengganu,Terengganu
20604,Kuala Terengganu,Terengganu
20606,Kuala Terengganu,Terengganu
20608,Kuala Terengganu,Terengganu
20609,Kuala Terengganu,Terengganu
20610,Kuala Terengganu,Terengganu
20612,Kuala Terengganu,Terengganu
20614,Kuala Terengganu,Terengganu
20618,Kuala Terengganu,Terengganu
20620,Kuala Terengganu,Terengganu
20622,Kuala Terengganu,Terengganu
20626,Kuala Terengganu,Terengganu
20628,Kuala Terengganu,Terengganu
20630,Kuala Terengganu,Terengganu
20632,Kuala Terengganu,Terengganu
20646,Kuala Terengganu,Terengganu
20648,Kuala Terengganu,Terengganu
20656,Kuala Terengganu,Terengganu
20658,Kuala Terengganu,Terengganu
20660,Kuala Terengganu,Terengganu
20661,Kuala Terengganu,Terengganu
20662,Kuala Terengganu,Terengganu
20664,Kuala Terengganu,Terengganu
20668,Kuala Terengganu,Terengganu
20670,Kuala Terengganu,Terengganu
20672,Kuala Terengganu,Terengganu
20673,Kuala Terengganu,Terengganu
20674,Kuala Terengganu,Terengganu
20675,Kuala Terengganu,Terengganu
20676,Kuala Terengganu,Terengganu
20680,Kuala Terengganu,Terengganu
20690,Kuala Terengganu,Terengganu
20698,Kuala Terengganu,Terengganu
20700,Kuala Terengganu,Terengganu
20710,Kuala Terengganu,Terengganu
20720,Kuala Terengganu,Terengganu
20900,Kuala Terengganu,Terengganu
20902,Kuala Terengganu,Terengganu
20904,Kuala Terengganu,Terengganu
20906,Kuala Terengganu,Terengganu
20908,Kuala Terengganu,Terengganu
20910,Kuala Terengganu,Terengganu
20912,Kuala Terengganu,Terengganu
20914,Kuala Terengganu,Terengganu
20916,Kuala Terengganu,Terengganu
20918,Kuala Terengganu,Terengganu
20920,Kuala Terengganu,Terengganu
20922,Kuala Terengganu,Terengganu
20924,Kuala Terengganu,Terengganu
20926,Kuala Terengganu,Terengganu
20928,Kuala Terengganu,Terengganu
20930,Kuala Terengganu,Terengganu
20990,Kuala Terengganu,Terengganu
21000,Kuala Terengganu,Terengganu
21009,Kuala Terengganu,Terengganu
21010,Kuala Terengganu,Terengganu
21020,Kuala Terengganu,Terengganu
21030,Kuala Terengganu,Terengganu
21040,Kuala Terengganu,Terengganu
21060,Kuala Terengganu,Terengganu
21070,Kuala Terengganu,Terengganu
21080,Kuala Terengganu,Terengganu
21090,Kuala Terengganu,Terengganu
21100,Kuala Terengganu,Terengganu
21109,Kuala Terengganu,Terengganu
21200,Kuala Terengganu,Terengganu
21209,Kuala Terengganu,Terengganu
21210,Kuala Terengganu,Terengganu
21220,Kuala Terengganu,Terengganu
21300,Kuala Terengganu,Terengganu
21309,Kuala Terengganu,Terengganu
21400,Marang,Terengganu
21450,Setiu,Terengganu
21500,Setiu,Terengganu
21600,Marang,Terengganu
21610,Marang,Terengganu
21700,Kuala Berang,Terengganu
21800,Ajil,Terengganu
21810,Ajil,Terengganu
21820,Ajil,Terengganu
22000,Jerteh,Terengganu
22010,Jerteh,Terengganu
22020,Jerteh,Terengganu
22100,Permaisuri,Terengganu
22107,Permaisuri,Terengganu
22109,Permaisuri,Terengganu
22110,Permaisuri,Terengganu
22120,Permaisuri,Terengganu
22200,Besut,Terengganu
22300,Kuala Besut,Terengganu
22307,Kuala Besut,Terengganu
22309,Kuala Besut,Terengganu
23000,Dungun,Terengganu
23007,Dungun,Terengganu
23009,Dungun,Terengganu
23050,Dungun,Terengganu
23100,Paka,Terengganu
23200,Bukit Besi,Terengganu
23300,Ketengah Jaya,Terengganu
23400,Dungun,Terengganu
24000,Kemaman,Terengganu
24007,Kemaman,Terengganu
24009,Kemaman,Terengganu
24040,Kemaman,Terengganu
24050,Kemaman,Terengganu
24060,Kemaman,Terengganu
24100,Kemaman,Terengganu
24107,Kemaman,Terengganu
24109,Kemaman,Terengganu
24200,Kemaman,Terengganu
24207,Kemaman,Terengganu
24209,Kemaman,Terengganu
24300,Kerteh,Terengganu
25000,Kuantan,Pahang
25050,Kuantan,Pahang
25100,Kuantan,Pahang
25150,Kuantan,Pahang
25200,Kuantan,Pahang
25250,Kuantan,Pahang
25300,Kuantan,Pahang
25350,Kuantan,Pahang
25500,Kuantan,Pahang
25502,Kuantan,Pahang
25503,Kuantan,Pahang
25504,Kuantan,Pahang
25505,Kuantan,Pahang
25506,Kuantan,Pahang
25508,Kuantan,Pahang
25509,Kuantan,Pahang
25512,Kuantan,Pahang
25514,Kuantan,Pahang
25516,Kuantan,Pahang
25517,Kuantan,Pahang
25518,Kuantan,Pahang
25520,Kuantan,Pahang
25524,Kuantan,Pahang
25529,Kuantan,Pahang
25532,Kuantan,Pahang
25534,Kuantan,Pahang
25536,Kuantan,Pahang
25538,Kuantan,Pahang
25540,Kuantan,Pahang
25546,Kuantan,Pahang
25548,Kuantan,Pahang
25550,Kuantan,Pahang
25551,Kuantan,Pahang
25552,Kuantan,Pahang
25556,Kuantan,Pahang
25558,Kuantan,Pahang
25560,Kuantan,Pahang
25564,Kuantan,Pahang
25570,Kuantan,Pahang
25576,Kuantan,Pahang
25578,Kuantan,Pahang
25582,Kuantan,Pahang
25584,Kuantan,Pahang
25586,Kuantan,Pahang
25590,Kuantan,Pahang
25592,Kuantan,Pahang
25594,Kuantan,Pahang
25596,Kuantan,Pahang
25598,Kuantan,Pahang
25600,Kuantan,Pahang
25604,Kuantan,Pahang
25606,Kuantan,Pahang
25608,Kuantan,Pahang
25609,Kuantan,Pahang
25612,Kuantan,Pahang
25614,Kuantan,Pahang
25620,Kuantan,Pahang
25622,Kuantan,Pahang
25626,Kuantan,Pahang
25628,Kuantan,Pahang
25630,Kuantan,Pahang
25632,Kuantan,Pahang
25644,Kuantan,Pahang
25646,Kuantan,Pahang
25648,Kuantan,Pahang
25656,Kuantan,Pahang
25660,Kuantan,Pahang
25661,Kuantan,Pahang
25662,Kuantan,Pahang
25670,Kuantan,Pahang
25672,Kuantan,Pahang
25673,Kuantan,Pahang
25674,Kuantan,Pahang
25676,Kuantan,Pahang
25690,Kuantan,Pahang
25700,Kuantan,Pahang
25709,Kuantan,Pahang
25710,Kuantan,Pahang
25720,Kuantan,Pahang
25730,Kuantan,Pahang
25740,Kuantan,Pahang
25750,Kuantan,Pahang
25990,Kuantan,Pahang
26010,Kuantan,Pahang
26040,Kuantan,Pahang
26050,Kuantan,Pahang
26057,Kuantan,Pahang
26060,Kuantan,Pahang
26070,Kuantan,Pahang
26077,Kuantan,Pahang
26080,Kuantan,Pahang
26090,Panching,Pahang
26100,Kuantan,Pahang
26130,Kuantan,Pahang
26140,Kuantan,Pahang
26150,Kuantan,Pahang
26180,Kuantan,Pahang
26197,Kuantan,Pahang
26200,Sungai Lembing,Pahang
26250,Kuantan,Pahang
26300,Gambang,Pahang
26309,Gambang,Pahang
26400,Bandar Pusat Jengka,Pahang
26407,Bandar Pusat Jengka,Pahang
26409,Bandar Pusat Jengka,Pahang
26410,Bandar Pusat Jengka,Pahang
26430,Bandar Pusat Jengka,Pahang
26450,Bandar Pusat Jengka,Pahang
26460,Bandar Pusat Jengka,Pahang
26500,Maran,Pahang
26507,Maran,Pahang
26509,Maran,Pahang
26600,Pekan,Pahang
26607,Pekan,Pahang
26609,Pekan,Pahang
26610,Pekan,Pahang
26620,Pekan,Pahang
26630,Pekan,Pahang
26640,Pekan,Pahang
26650,Pekan,Pahang
26660,Pekan,Pahang
26680,Pekan,Pahang
26690,Pekan,Pahang
26700,Muadzam Shah,Pahang
26707,Muadzam Shah,Pahang
26709,Muadzam Shah,Pahang
26800,Kuala Rompin,Pahang
26807,Kuala Rompin,Pahang
26809,Kuala Rompin,Pahang
26810,Kuala Rompin,Pahang
26820,Kuala Rompin,Pahang
26900,Bandar Tun Razak,Pahang
26907,Bandar Tun Razak,Pahang
27000,Jerantut,Pahang
27007,Jerantut,Pahang
27009,Jerantut,Pahang
27010,Jerantut,Pahang
27020,Jerantut,Pahang
27030,Jerantut,Pahang
27037,Jerantut,Pahang
27040,Jerantut,Pahang
27050,Jerantut,Pahang
27060,Jerantut,Pahang
27070,Jerantut,Pahang
27090,Jerantut,Pahang
27100,Kuala Lipis,Pahang
27109,Kuala Lipis,Pahang
27150,Jerantut,Pahang
27200,Kuala Lipis,Pahang
27207,Kuala Lipis,Pahang
27209,Kuala Lipis,Pahang
27210,Kuala Lipis,Pahang
27300,Benta,Pahang
27307,Benta,Pahang
27310,Benta,Pahang
27400,Raub,Pahang
27500,Sungai Ruan,Pahang
27600,Raub,Pahang
27607,Raub,Pahang
27609,Raub,Pahang
27610,Raub,Pahang
27620,Raub,Pahang
27630,Sungai Ruan,Pahang
27650,Raub,Pahang
27660,Raub,Pahang
28000,Temerloh,Pahang
28007,Temerloh,Pahang
28009,Temerloh,Pahang
28010,Temerloh,Pahang
28020,Temerloh,Pahang
28030,Temerloh,Pahang
